Gene	sample2
aapP	6.594281
accC	31.32777
acnB	27.965052
acuI	19.895826
araG	15.151962
argC	23.879831
atpA	15.245873
bktB	35.703657
ccoN	6.719725
coaBC	19.991312
cobB	17.927538
cobI	20.844493
cobO	24.823426
cobS-co	14.424067
cobT-alpha	20.408821
cysD	17.909041
cysE	31.288408
dmdC	32.128274
dppC	6.209701
eda	10.629427
eno	23.535805
fabF	34.186299
fbaA	30.64387
fhs	13.69327
fmt	25.606295
folE	18.627254
frmA	32.987458
gcd	12.971618
gcvT	16.866282
glnA	42.384754
glpQ	22.242888
gnl	4.612091
gpmI	19.437945
hemB	30.708315
hemL	19.710534
hisI	37.006652
hom	19.477716
hutH	6.446376
leuD	7.10781
lpdA	10.254968
mccB	13.436056
mntB	15.740024
moaE	37.556972
murC	9.963707
narB	32.851752
narZ	28.046584
nuoG	15.50121
pdxA	30.806109
pgsA	33.451473
phnE	97.629553
phnM	8.539714
phoB	19.092498
phoR	24.416677
ppk	12.754188
pps	17.389801
pseI	19.038494
pstA	15.523865
pta	31.350828
purC	22.79839
purK	15.478443
purL	23.900852
purS	12.407989
pyrF	18.303777
rffH	5.319498
rpe	15.513417
serA	17.889122
soxA	70.042129
sugB	9.520205
tctA	42.795144
tdh	24.489103
thyX	49.505609
trxB	10.499124
ugpA	13.245002
ureC	21.982686
wbpO	15.731235
wecE	8.089283
