#Random sampling: 100
Gene	Mean Identity	sample1	sample2
aapP	98	0	0
accC	82.875	0	0
acdA	62.5	0	0
ackA	71.7	0	0
acnB	100	0	0
acs	83.95	0	0
acuI	78.35	0	0
araC	100	1	0
araG	98	0	0
argB	100	0	0
argC	92.325	0	0
argH	75	0	0
argJ	66	0	0
asd	98	0	0
atpA	100	0	1
atpB	100	0	0
atpD	93.9	0	0
atpG	100	0	0
betB	56	0	0
bioC	77.6	0	0
bktB	96.45	0	0
carB	76.6	0	0
ccoN	75.5	0	0
cheD	50	0	0
coaBC	77.9	0	0
cobB	98	0	0
cobI	91.8	0	0
cobO	93.85	0	0
cobS-co	77.55	0	1
cobT-alpha	91.7	0	0
cofH	79.6	0	0
ctaD	90	0	0
cyoB	58.3	0	0
cysD	83.9	0	0
cysE	77.8	0	0
cysG	85.7	0	0
dacB	93.9	0	0
desA1	57.4	0	0
dhlDH	72.15	0	0
dmdC	89.525	1	0
doeA	68.2	0	0
doeD	88.8	0	0
dppC	75.8	0	0
eda	63.3	0	1
eno	87.6	0	0
entE	96	0	0
fabF	84.62	0	0
fabH	91.8	0	0
fbaA	79.0666666666667	0	0
fbp	85.7	0	0
fhs	88.85	0	1
fmt	64.6	0	0
folE	78.75	0	0
frmA	89.9666666666667	0	0
fwdB	89.1	0	0
gcd	58.3	0	0
gcvP	100	0	0
gcvPA	95.9	0	0
gcvPB	100	1	0
gcvT	62	0	0
ggt	95.9	0	0
glcB	91.8	0	0
glgB	98	0	0
glmS	98	0	0
glnA	78.08	0	1
glnQ	82.2	0	0
glpK	83.7	0	0
glpQ	67.8	0	0
gltB	55.1	0	0
gltX	51	0	0
gmd	100	1	0
gnl	70.9	0	0
gntK	74	0	0
gox	91.95	0	0
gpmI	73.5	0	0
gsiA	89.8	0	0
hcrC2	93.9	0	0
hemB	91.85	0	0
hemF	73.5	0	0
hemL	79.4666666666667	0	0
hisI	79.2	0	0
hom	83.65	0	0
hutH	70.2	0	0
icd	98	0	0
iscS	67.3	0	0
kbl	95.3	0	0
leuC	62	0	0
leuD	95.9	0	0
livK	95.9	1	0
lpdA	61.2	0	0
lpxC	82.6	0	0
malK	98	0	0
mccB	95.95	0	1
mdh-K00024	71.4	0	0
metC	67.3	0	0
mlaF	100	0	0
mntB	84.7	0	0
moaE	93.2333333333333	1	0
mtgA-K03814	100	0	0
mtkB	94	0	0
murC	92.85	0	0
nagK-K16165	75	0	0
narB	97.95	0	0
narG	52	0	0
narZ	76.35	0	0
ndk	86	0	0
nuoG	93.9	0	0
oppD	91.8	0	0
paaA	98	0	0
panD	62.5	0	0
pcaJ	70.2	0	0
pduO	68	0	0
pdxA	93.375	0	0
petA-K00411	100	0	0
pgsA	69.3	0	0
phbC-EC2.3.1	67.3	0	0
pheA	57.8	0	0
phnE	84.675	0	0
phnM	95.7	0	0
phnX	87.5	0	0
phoB	65.2333333333333	0	0
phoR	53.65	0	0
phoX	63.6	0	0
pimC	100	0	0
pldA	60.9	0	0
porA	92	0	0
porB	89.2	0	0
ppk	90.85	0	0
pps	81.65	0	0
ppsA	100	0	0
pqqC	100	0	0
prpE	90	0	0
pseI	93.85	1	0
pstA	93.9	0	0
pstB	97.6	0	0
pta	100	0	0
ptsI	87.8	0	0
purC	96.25	0	0
purD	82.85	0	0
purH	62.5	0	0
purK	80.75	0	0
purL	80.8	0	0
purS	71.4	0	0
pyk	94.6666666666667	0	0
pyrF	62.7	0	0
pyrG	82.45	0	0
rffH	93.9	0	0
ribE	79.6	1	0
ribF	77.6	0	0
rmlA	61.2	1	0
rpe	80	0	0
serA	90.6	0	0
serB	84	0	0
sod	77.65	0	0
soxA	88.3833333333333	0	1
soxB-K00303	87.8	0	0
sseA	82.9	1	0
ssuB	98	0	0
sucC	76	0	0
sugB	59.6	0	0
suhB	67.3	0	0
sulP	69.4	0	0
tal	71.4	0	0
tctA	80.9333333333333	0	1
tdh	98	0	0
thyX	83.6	0	0
trxB	63.3	0	0
ugpA	64.9	0	0
ugpC	68.1	0	0
ugpE	57.1	0	0
ureC	96	0	0
vipA	82	0	0
wbpO	84	0	0
wecE	77.1	0	0
yagS	83.55	0	0
