#Not random sampling
Gene	Mean Identity	sample1	sample2
aapP	98	0	1
accC	82.875	3	1
acdA	62.5	1	0
ackA	71.7	1	0
acnB	100	2	1
acs	83.95	2	0
acuI	78.35	1	1
araC	100	2	0
araG	98	1	1
argB	100	1	0
argC	92.325	3	1
argH	75	1	0
argJ	66	1	0
asd	98	2	0
atpA	100	1	1
atpB	100	1	0
atpD	93.9	1	0
atpG	100	1	0
betB	56	1	0
bioC	77.6	1	0
bktB	96.45	1	1
carB	76.6	1	0
ccoN	75.5	1	1
cheD	50	1	0
coaBC	77.9	2	1
cobB	98	1	1
cobI	91.8	1	1
cobO	93.85	1	1
cobS-co	77.55	1	1
cobT-alpha	91.7	1	1
cofH	79.6	1	0
ctaD	90	1	0
cyoB	58.3	1	0
cysD	83.9	1	1
cysE	77.8	1	1
cysG	85.7	1	0
dacB	93.9	1	0
desA1	57.4	1	0
dhlDH	72.15	2	0
dmdC	89.525	3	1
doeA	68.2	1	0
doeD	88.8	2	0
dppC	75.8	0	1
eda	63.3	0	1
eno	87.6	2	1
entE	96	1	0
fabF	84.62	3	2
fabH	91.8	1	0
fbaA	79.0666666666667	2	1
fbp	85.7	2	0
fhs	88.85	1	1
fmt	64.6	0	1
folE	78.75	1	1
frmA	89.9666666666667	2	1
fwdB	89.1	1	0
gcd	58.3	1	1
gcvP	100	1	0
gcvPA	95.9	1	0
gcvPB	100	1	0
gcvT	62	1	1
ggt	95.9	1	0
glcB	91.8	1	0
glgB	98	1	0
glmS	98	1	0
glnA	78.08	3	2
glnQ	82.2	2	0
glpK	83.7	1	0
glpQ	67.8	1	1
gltB	55.1	1	0
gltX	51	1	0
gmd	100	1	0
gnl	70.9	1	1
gntK	74	1	0
gox	91.95	2	0
gpmI	73.5	1	1
gsiA	89.8	1	0
hcrC2	93.9	1	0
hemB	91.85	1	1
hemF	73.5	2	0
hemL	79.4666666666667	2	1
hisI	79.2	0	1
hom	83.65	1	1
hutH	70.2	0	1
icd	98	1	0
iscS	67.3	1	0
kbl	95.3	2	0
leuC	62	1	0
leuD	95.9	0	1
livK	95.9	1	0
lpdA	61.2	0	1
lpxC	82.6	1	0
malK	98	1	0
mccB	95.95	1	1
mdh-K00024	71.4	1	0
metC	67.3	1	0
mlaF	100	1	0
mntB	84.7	1	1
moaE	93.2333333333333	2	1
mtgA-K03814	100	1	0
mtkB	94	1	0
murC	92.85	1	1
nagK-K16165	75	1	0
narB	97.95	1	1
narG	52	1	0
narZ	76.35	1	1
ndk	86	1	0
nuoG	93.9	1	1
oppD	91.8	1	0
paaA	98	1	0
panD	62.5	1	0
pcaJ	70.2	2	0
pduO	68	1	0
pdxA	93.375	3	1
petA-K00411	100	1	0
pgsA	69.3	1	1
phbC-EC2.3.1	67.3	1	0
pheA	57.8	1	0
phnE	84.675	3	1
phnM	95.7	0	1
phnX	87.5	1	0
phoB	65.2333333333333	2	1
phoR	53.65	1	1
phoX	63.6	2	0
pimC	100	1	0
pldA	60.9	1	0
porA	92	1	0
porB	89.2	1	0
ppk	90.85	1	1
pps	81.65	1	1
ppsA	100	1	0
pqqC	100	1	0
prpE	90	1	0
pseI	93.85	1	1
pstA	93.9	1	1
pstB	97.6	1	0
pta	100	1	1
ptsI	87.8	1	0
purC	96.25	1	1
purD	82.85	2	0
purH	62.5	1	0
purK	80.75	1	1
purL	80.8	2	1
purS	71.4	0	1
pyk	94.6666666666667	3	0
pyrF	62.7	1	1
pyrG	82.45	2	0
rffH	93.9	0	1
ribE	79.6	1	0
ribF	77.6	1	0
rmlA	61.2	1	0
rpe	80	1	1
serA	90.6	2	1
serB	84	1	0
sod	77.65	2	0
soxA	88.3833333333333	3	3
soxB-K00303	87.8	1	0
sseA	82.9	1	0
ssuB	98	1	0
sucC	76	1	0
sugB	59.6	0	1
suhB	67.3	1	0
sulP	69.4	1	0
tal	71.4	1	0
tctA	80.9333333333333	2	1
tdh	98	0	1
thyX	83.6	1	1
trxB	63.3	0	1
ugpA	64.9	1	1
ugpC	68.1	2	0
ugpE	57.1	1	0
ureC	96	1	1
vipA	82	1	0
wbpO	84	0	1
wecE	77.1	0	1
yagS	83.55	2	0
